brand,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,seats,selling_price
Maruti,120000,Individual,Petrol,Manual,19.7,796,5,120000
Hyundai,20000,Individual,Petrol,Manual,18.9,1197,5,550000
Hyundai,60000,Individual,Petrol,Manual,17.0,1197,5,215000
Maruti,37000,Individual,Petrol,Manual,20.92,998,5,226000
Ford,30000,Dealer,Diesel,Manual,22.77,1498,5,570000
Maruti,35000,Individual,Petrol,Manual,18.9,998,5,350000
Hyundai,40000,Dealer,Petrol,Manual,20.36,1197,5,315000
Maruti,17512,Dealer,Petrol,Manual,20.51,998,5,410000
Hyundai,20000,Individual,Petrol,Automatic,18.15,998,5,1050000
Maruti,28321,Dealer,Petrol,Manual,16.6,1197,5,511000
Hyundai,65278,Dealer,Diesel,Manual,22.32,1582,5,425000
Renault,50000,Individual,Diesel,Manual,19.64,1461,5,750000
Mini,6000,Dealer,Petrol,Automatic,14.41,1998,5,3250000
Maruti,76000,Dealer,Diesel,Manual,28.09,1248,5,650000
Maruti,20000,Individual,Diesel,Manual,25.2,1248,5,627000
Mercedes-Benz,65000,Dealer,Diesel,Automatic,19.27,2143,5,1425000
Maruti,62200,Dealer,Diesel,Manual,28.4,1248,5,425000
Toyota,110000,Individual,Diesel,Manual,12.99,2494,8,605000
Maruti,20000,Individual,Petrol,Manual,21.4,1197,5,600000
Maruti,40000,Individual,Petrol,Manual,20.85,1197,5,575000
Volkswagen,47000,Dealer,Petrol,Manual,16.09,1598,5,425000
Maruti,25000,Dealer,Petrol,Manual,20.92,998,5,230000
Hyundai,15000,Individual,Diesel,Manual,19.67,1582,5,1225000
Honda,50000,Individual,Petrol,Manual,17.4,1497,5,750000
Mahindra,25000,Individual,Diesel,Manual,13.6,2523,7,350000
Maruti,90000,Individual,Diesel,Manual,26.59,1248,5,600000
Maruti,45000,Dealer,Diesel,Manual,26.59,1248,5,390000
Honda,77253,Dealer,Petrol,Manual,17.7,1497,5,145000
Hyundai,25000,Individual,Petrol,Manual,17.19,1197,5,700000
Toyota,110000,Individual,Diesel,Manual,13.0,2982,7,1150000
Renault,30000,Individual,Petrol,Manual,23.01,999,5,340000
Honda,39993,Dealer,Petrol,Manual,18.6,1199,5,465000
Hyundai,80000,Individual,Petrol,Manual,17.92,1086,5,125000
Maruti,90000,Individual,Diesel,Manual,23.4,1248,5,380000
Hyundai,15000,Individual,Diesel,Manual,22.54,1396,5,850000
Hyundai,40000,Individual,Petrol,Manual,18.6,1197,5,598000
Honda,31180,Dealer,Petrol,Automatic,18.0,1497,5,700000
Maruti,56000,Dealer,Diesel,Manual,23.4,1248,5,410000
Maruti,52427,Dealer,Petrol,Automatic,21.4,1197,5,590000
Mahindra,40000,Individual,Diesel,Manual,21.0,1498,7,850000
Mahindra,17000,Individual,Petrol,Manual,18.15,1198,5,550000
Maruti,22000,Dealer,Petrol,Manual,15.4,1590,5,625000
Maruti,54000,Individual,Petrol,Manual,20.85,1197,5,600000
Maruti,10000,Individual,Petrol,Manual,20.51,998,5,445000
Maruti,20000,Individual,Petrol,Manual,20.89,1197,5,530000
Datsun,27263,Individual,Petrol,Manual,22.5,999,5,350000
Hyundai,110000,Individual,Diesel,Manual,22.32,1582,5,520000
Hyundai,70000,Individual,Diesel,Manual,22.54,1396,5,750000
Maruti,70000,Individual,Diesel,Manual,26.59,1248,5,560000
Hyundai,39000,Dealer,Petrol,Manual,18.6,1197,5,655000
Hyundai,56000,Dealer,Petrol,Manual,17.8,1086,5,125000
Hyundai,34000,Individual,Petrol,Manual,18.6,1197,5,550000
Mahindra,50000,Individual,Diesel,Manual,15.4,1997,7,1150000
Volkswagen,77400,Individual,Diesel,Manual,20.54,1598,5,500000
Mahindra,36000,Individual,Diesel,Manual,17.3,1497,7,990000
Hyundai,47876,Dealer,Diesel,Manual,25.0,1493,5,551000
Mahindra,21500,Individual,Diesel,Automatic,15.1,2179,7,1650000
Hyundai,75000,Dealer,Diesel,Manual,24.0,1120,5,350000
Ford,58000,Dealer,Petrol,Manual,18.16,1196,5,500000
Maruti,30000,Individual,Petrol,Manual,21.21,1197,5,575000
Hyundai,50000,Individual,Diesel,Manual,24.0,1186,5,545000
Honda,50000,Individual,Petrol,Manual,18.0,1198,5,400000
Maruti,47000,Dealer,Diesel,Manual,26.59,1248,5,545000
Honda,70000,Individual,Petrol,Manual,16.8,1497,5,545000
Renault,25000,Individual,Petrol,Manual,25.17,799,5,240000
